,City Name,Latitude,Longitude,Country,UTC +/- (Hours),Max Temperature,Humidity,Cloudiness,Wind Speed
59,La Brea,15.8,-85.9667,HN,-6.0,91.4,53,92,7.56
60,Saint George,37.1041,-113.5841,US,-6.0,95.85,20,1,4.32
61,Lompoc,34.6391,-120.4579,US,-7.0,76.23,67,1,12.64
62,Shemursha,54.8866,47.5189,RU,3.0,54.52,59,77,19.48
63,Isangel,-19.55,169.2667,VU,11.0,75.54,68,6,10.25
64,East London,-33.0153,27.9116,ZA,2.0,68.85,64,80,19.39
65,Kongolo,-5.3833,27.0,CD,2.0,97.9,31,84,6.78
66,Hilo,19.7297,-155.09,US,-10.0,77.86,75,32,10.09
67,Shar,49.5886,81.0453,KZ,6.0,87.35,17,0,7
68,Tuktoyaktuk,69.4541,-133.0374,CA,-6.0,49.95,87,100,11.34
69,Zhob,31.3411,69.4481,PK,5.0,94.15,26,0,13.13
70,Nome,64.5011,-165.4064,US,-8.0,48.52,64,38,12.28
71,Hay River,60.8156,-115.7999,CA,-6.0,72.48,46,71,12.1
72,Mackay,-21.15,149.2,AU,10.0,72.95,64,8,10.47
73,Katsuura,35.1333,140.3,JP,9.0,73.17,91,100,19.3
74,Cherskiy,68.75,161.3,RU,11.0,42.06,97,100,22.44
75,Aklavik,68.2191,-135.0107,CA,-6.0,55.58,93,90,7.87
76,Sioux Lookout,50.1001,-91.917,CA,-5.0,63.45,60,84,10.36
77,Torbay,47.6666,-52.7314,CA,-2.5,68.23,84,98,16.04
78,New Norfolk,-42.7826,147.0587,AU,10.0,54.88,45,13,8.68
79,Kastamonu Province,41.5,33.6667,TR,3.0,72.16,43,1,8.84
80,Avarua,-21.2078,-159.775,CK,-10.0,74.08,93,85,33.73
81,Buchanan,5.8808,-10.0467,LR,0.0,81.34,72,30,14.41
82,Lebu,-37.6167,-73.65,CL,-4.0,55.17,76,96,17.69
83,Hamilton,39.1834,-84.5333,US,-4.0,80.55,54,51,10.09
84,Khatanga,71.9667,102.5,RU,7.0,62.67,65,100,18.07
85,Souillac,-20.5167,57.5167,MU,4.0,73.8,63,40,20.78
86,Bambous Virieux,-20.3428,57.7575,MU,4.0,73.2,64,44,22.73
87,Khalkhāl,37.6189,48.5258,IR,4.5,73.49,47,9,7.63
88,Mbandaka,0.0487,18.2603,CD,1.0,81.81,62,83,4.54
89,Fuzhou,26.0614,119.3061,CN,8.0,94.35,50,45,6.76
90,Jamestown,42.097,-79.2353,US,-4.0,76.24,56,10,6.46
91,Lata,40.1629,-8.3327,PT,1.0,88.74,28,40,10.25
92,Bambanglipuro,-7.95,110.2833,ID,7.0,82.04,67,99,13.98
93,Lorengau,-2.0226,147.2712,PG,10.0,84.2,76,52,12.53
94,Cabedelo,-6.9811,-34.8339,BR,-3.0,81.34,71,44,14.41
95,Cockburn Town,21.4612,-71.1419,TC,-4.0,83.53,80,47,17.22
96,Gallup,35.5281,-108.7426,US,-6.0,82.67,27,5,15.37
97,Eureka,40.8021,-124.1637,US,-7.0,62.67,73,1,7.23
98,Kefamenanu,-9.4467,124.4781,ID,8.0,89.62,41,96,12.64
99,Atuona,-9.8,-139.0333,PF,-9.5,78.22,78,50,20.96
100,Falam,22.9167,93.6833,MM,6.5,76.03,68,97,4.61
101,Kismayo,-0.3582,42.5454,SO,3.0,82.17,64,74,17.72
102,Ocampo,21.65,-101.5,MX,-5.0,67.98,59,100,15.14
103,Morón,-34.6534,-58.6198,AR,-3.0,61,66,70,9.8
104,Sal Rei,16.1833,-22.9167,CV,-1.0,79.36,81,12,22.84
105,Shamary,57.3434,58.2199,RU,5.0,52.74,55,83,15.77
106,Dumas,35.8656,-101.9732,US,-5.0,77.76,56,49,16.22
107,Qaanaaq,77.484,-69.3632,GL,-3.0,31.84,84,98,12.73
108,Evensk,61.95,159.2333,RU,11.0,50.18,86,100,19.35
109,Shushenskoye,53.325,91.9356,RU,7.0,67.55,57,5,4.76
110,Hobart,-42.8794,147.3294,AU,10.0,55.22,47,27,11.74
111,Athabasca,54.7169,-113.2854,CA,-6.0,75.04,35,0,12.1
112,Saint Paul Harbor,57.79,-152.4072,US,-8.0,55.51,91,99,4.38
113,Mount Isa,-20.7333,139.5,AU,10.0,76.64,41,32,23.85
114,Kavieng,-2.5744,150.7967,PG,10.0,84.13,75,99,11.63
115,Korla,41.7597,86.1469,CN,8.0,84.61,23,0,10.89
116,Sitka,57.0531,-135.33,US,-8.0,56.98,88,100,5.82
117,Pangnirtung,66.1451,-65.7125,CA,-4.0,46.9,74,96,3.65
118,Vanimo,-2.6741,141.3028,PG,10.0,86.38,65,100,12.86
119,Fairbanks,64.8378,-147.7164,US,-8.0,60.91,88,92,3.02
120,Potosí,-19.5836,-65.7531,BO,-4.0,62.64,8,3,7.36
121,Rio Grande,-32.035,-52.0986,BR,-3.0,61.95,69,0,10.29
122,Mar del Plata,-38.0023,-57.5575,AR,-3.0,52.95,74,69,11.56
123,Shenjiamen,29.9576,122.298,CN,8.0,83.59,82,100,15.77
124,Villa María,-32.4075,-63.2402,AR,-3.0,67.96,83,98,13.51
125,Hualmay,-11.0964,-77.6139,PE,-5.0,66.58,73,80,11.36
126,Abalak,58.1286,68.5944,RU,5.0,68.83,43,0,14.9
127,Nizhniy Tsasuchey,50.5167,115.1333,RU,9.0,56.39,69,100,16.06
128,Shurugwi,-19.6702,30.0059,ZW,2.0,83.44,24,0,10.89
129,Harper,4.375,-7.7169,LR,0.0,79.65,82,48,14.14
130,Masterton,-40.9597,175.6575,NZ,12.0,56.86,64,75,12.75
131,George Town,5.4112,100.3354,MY,8.0,84.18,72,62,6.85
132,Mildura,-34.2,142.15,AU,10.0,60.12,45,4,21.03
133,Havre-St-Pierre,50.2334,-63.5986,CA,-4.0,52.02,73,99,32.03
134,Avera,33.194,-82.5271,US,-4.0,85.37,27,0,7.18
135,Praia,14.9215,-23.5087,CV,-1.0,82.44,70,21,18.99
136,Portland,45.5234,-122.6762,US,-7.0,84.45,38,75,5.28
137,Yanahuanca,-10.5167,-76.4986,PE,-5.0,57.34,27,60,14.36
138,Sibu,2.3,111.8167,MY,8.0,94.21,49,92,5.23
139,Ostrovnoy,68.0531,39.5131,RU,3.0,43.48,96,100,29.19
140,Longyearbyen,78.2186,15.6401,SJ,2.0,39.04,74,32,6.08
141,Sandwick,60.0,-1.25,GB,1.0,55.96,77,60,12.93
142,Cabo San Lucas,22.8909,-109.9124,MX,-6.0,89.46,60,23,12.59
143,Pevek,69.7008,170.3133,RU,12.0,37.6,85,100,24.58
144,Abu Dhabi,24.4667,54.3667,AE,4.0,96.44,44,1,13.06
145,Port Elizabeth,-33.918,25.5701,ZA,2.0,66.83,57,30,15.01
146,Plettenberg Bay,-34.0527,23.3716,ZA,2.0,64.98,54,98,7.94
147,Port Said,31.2565,32.2841,EG,2.0,82.81,65,0,12.15
148,Robertsport,6.7533,-11.3686,LR,0.0,78.35,85,100,13.91
149,Imeni Poliny Osipenko,52.4201,136.4853,RU,10.0,73.74,59,77,5.93
150,Nāwa,27.0167,75.0,IN,5.5,91.96,60,85,13.15
151,Barra de Tecoanapa,16.5167,-98.75,MX,-5.0,85.5,67,95,10.96
152,Baykit,61.67,96.37,RU,7.0,63.99,46,70,4.45
153,Oni,42.5794,43.4425,GE,4.0,69.12,64,95,5.08
154,Amphoe Phra Pradaeng,13.6585,100.5336,TH,7.0,80.98,71,100,10.33
155,Turan,16.0678,108.2208,VN,7.0,86.92,61,68,9.66
156,Talnakh,69.4865,88.3972,RU,7.0,60.71,67,82,26.64
157,Vila Franca do Campo,37.7167,-25.4333,PT,0.0,72.95,77,94,14.14
158,Fortuna,40.5982,-124.1573,US,-7.0,67.95,75,1,8.37
159,Pokhara,28.2333,83.9833,NP,5.75,80.56,81,56,4.92
160,Elko,41.0002,-115.5012,US,-7.0,84.06,10,0,10.96
161,Alice Springs,-23.7,133.8833,AU,9.5,66.15,24,83,25.17
162,Lubango,-14.9172,13.4925,AO,1.0,80.76,20,18,7.85
163,Narimanov,46.6927,47.8498,RU,4.0,79.5,33,13,17.18
164,Gornozavodsk,58.3758,58.3211,RU,5.0,48.78,76,62,15.64
165,Narsaq,60.9167,-46.05,GL,-2.0,52.11,54,0,7.81
166,Fujin,47.26,132.0322,CN,8.0,79.5,43,0,3.71
167,Tefé,-3.3542,-64.7114,BR,-4.0,93.29,49,64,5.12
168,Kruisfontein,-34.0033,24.7314,ZA,2.0,73.6,35,43,10.22
169,Norrtälje,59.758,18.705,SE,2.0,56.73,46,13,12.55
170,Thompson,55.7435,-97.8558,CA,-5.0,52.27,78,100,10.74
171,Bydgoszcz,53.1235,18.0076,PL,2.0,64.18,48,4,8.55
172,Touros,-5.1989,-35.4608,BR,-3.0,84.92,61,13,16.24
173,Lagoa,39.05,-27.9833,PT,0.0,71.31,70,90,22.62
174,Tsumeb,-19.2333,17.7167,NA,2.0,88.81,12,0,13.2
175,Adrar,20.5022,-10.0711,MR,0.0,104.27,22,8,11.88
176,Road Town,18.4167,-64.6167,VG,-4.0,87.01,75,11,19.3
177,kimparana,12.8347,-4.9244,ML,0.0,91.47,51,27,10.78
178,Chumikan,54.7183,135.315,RU,10.0,73.06,59,100,18.5
179,Whitehorse,60.7161,-135.0538,CA,-7.0,58.77,71,100,5.57
180,Salalah,17.0151,54.0924,OM,4.0,80.89,86,96,14.94
181,Ahipara,-35.1667,173.1667,NZ,12.0,60.73,60,88,10.04
182,Zhangjiakou,40.81,114.8794,CN,8.0,74.3,60,95,7.25
183,Çermik,38.1361,39.4493,TR,3.0,89.51,21,0,6.96
184,Esperance,-33.8667,121.9,AU,8.0,60.89,57,4,14.43
185,Mehamn,71.0357,27.8492,NO,2.0,41.94,73,100,26.91
186,Nouadhibou,20.931,-17.0347,MR,0.0,75.94,77,63,30.49
187,Tsabong,-26.0217,22.401,BW,2.0,88.52,12,89,12.86
188,Namtsy,62.7161,129.6658,RU,9.0,58.66,45,6,8.72
189,Broome,42.2506,-75.833,US,-4.0,73.9,60,6,5.06
190,Slavutych,51.5196,30.7343,UA,3.0,60.39,47,2,12.37
191,Omboué,-1.5746,9.2618,GA,1.0,80.6,70,97,11.03
192,Bontang,0.1333,117.5,ID,8.0,83.88,77,70,7.94
193,Sørkjosen,69.8,20.9333,NO,2.0,42.67,93,100,13.53
194,Kaitangata,-46.2817,169.8464,NZ,12.0,54.43,86,100,14.27
195,Hithadhoo,-0.6,73.0833,MV,5.0,83.73,72,90,9.17
196,Ribeira Grande,38.5167,-28.7,PT,0.0,72.66,69,91,21.65
197,Constantine,36.365,6.6147,DZ,1.0,89.06,46,6,11.99
198,Roald,62.5833,6.1333,NO,2.0,52.47,65,65,15.68
199,Sorong,-0.8833,131.25,ID,9.0,81.1,79,100,9.84
200,Barrow,71.2906,-156.7887,US,-8.0,38.23,94,94,24.43
201,Tiarei,-17.5333,-149.3333,PF,-10.0,82.42,76,11,16.55
202,Kumul,42.8,93.45,CN,8.0,86.29,15,25,7.94
203,Clyde River,70.4692,-68.5914,CA,-4.0,43.56,57,44,8.28
204,Monforte de Lemos,42.5216,-7.5142,ES,2.0,88.03,22,18,7.92
205,Smolenskoye,52.3044,85.0781,RU,7.0,86.23,27,3,5.73
206,Mezen',65.8522,44.24,RU,3.0,48.79,69,90,10.51
207,Vardø,70.3705,31.1107,NO,2.0,43.34,76,100,34.14
208,Saint-Philippe,-21.3585,55.7679,RE,4.0,71.35,67,53,17.69
209,Ilulissat,69.2167,-51.1,GL,-2.0,37.42,98,100,5.3
210,Tūkrah,32.5341,20.5791,LY,2.0,82.8,53,0,13.89
211,Waingapu,-9.6567,120.2641,ID,8.0,87.49,56,100,16.04
212,Vanavara,60.34,102.2797,RU,7.0,59.22,35,1,8.77
213,Malakal,9.5334,31.6605,SS,2.0,80.64,86,100,5.61
214,Broken Hill,-31.95,141.4333,AU,9.5,59.81,45,4,20.47
215,Wallacetown,-46.3333,168.2667,NZ,12.0,55.11,93,100,11.63
216,Batemans Bay,-35.7167,150.1833,AU,10.0,55.56,69,93,11.52
217,Montelíbano,7.9829,-75.4229,CO,-5.0,86.95,70,98,6.29
218,Shelburne,44.0787,-80.2041,CA,-4.0,72.99,41,64,11.3
219,Labuhan,-6.8844,112.2051,ID,7.0,85.19,59,100,9.71
220,Bengkulu,-3.8004,102.2655,ID,7.0,84.11,66,40,8.95
221,Sisimiut,66.9395,-53.6735,GL,-2.0,41.99,74,99,9.19
222,Beringovskiy,63.05,179.3167,RU,12.0,53.73,73,100,20.07
223,Gobabis,-22.45,18.9667,NA,2.0,85.3,12,6,12.66
224,North Myrtle Beach,33.816,-78.68,US,-4.0,81.73,51,3,10.47
225,Birao,10.2849,22.7882,CF,1.0,85.03,67,96,7.11
226,Raudeberg,61.9875,5.1352,NO,2.0,51.62,69,77,16.17
227,Lincoln,40.8,-96.667,US,-5.0,76.32,62,35,11.25
228,Belaya Gora,68.5333,146.4167,RU,11.0,43.03,48,100,16.28
229,Goderich,43.7501,-81.7165,CA,-4.0,73.78,57,72,21.34
230,Edd,13.9297,41.6925,ER,3.0,96.17,50,34,15.23
231,Kidal,18.4411,1.4078,ML,0.0,103.66,11,6,11.79
232,Sur,22.5667,59.5289,OM,4.0,96.13,43,5,10.47
233,Bestöbe,52.4994,73.0975,KZ,6.0,85.35,19,0,16.89
234,Sarakhs,36.5449,61.1577,IR,4.5,93.07,27,0,18.63
235,Berlevåg,70.8578,29.0864,NO,2.0,42.62,76,100,29.33
236,São João da Barra,-21.6403,-41.0511,BR,-3.0,78.89,63,0,14.94
237,Derzhavīnsk,51.1,66.3167,KZ,6.0,74.05,34,6,12.8
238,Zhigansk,66.7697,123.3711,RU,9.0,55.54,40,23,12.06
239,Río Gallegos,-51.6226,-69.2181,AR,-3.0,57.25,51,34,6.24
240,Vallenar,-28.5708,-70.7581,CL,-4.0,81.59,19,0,7.7
241,Tuatapere,-46.1333,167.6833,NZ,12.0,53.94,91,100,7.92
242,Muncar,-8.4333,114.3333,ID,7.0,84.9,62,84,9.46
243,Nanortalik,60.1432,-45.2371,GL,-2.0,44.33,83,29,17.38
244,Camden,39.7835,-74.9663,US,-4.0,78.31,46,56,5.01
245,Yulara,-25.2406,130.9889,AU,9.5,68.67,26,0,23.22
246,Honiara,-9.4333,159.95,SB,11.0,84.43,71,53,6.71
247,Northam,51.0333,-4.2167,GB,1.0,69.73,65,5,12.17
248,Kalangala,-0.3089,32.225,UG,3.0,73.8,65,88,12.77
249,Itarema,-2.9248,-39.9167,BR,-3.0,87.87,54,45,21.41
250,Ambon City,-3.6954,128.1814,ID,9.0,81.97,78,100,17.94
251,Barcelos,41.5388,-8.6151,PT,1.0,78.21,45,24,7.78
252,Ancud,-41.8697,-73.8203,CL,-4.0,49.68,94,100,15.9
253,Chapais,49.7834,-74.8492,CA,-4.0,68.36,29,51,5.41
254,Tuy Hoa,13.0833,109.3,VN,7.0,88.7,60,100,7.45
255,Bongaree,-27.0797,153.1586,AU,10.0,72,59,16,17.22
256,Pisco,-13.7,-76.2167,PE,-5.0,65.14,75,95,7.78
257,Beloha,-25.1667,45.05,MG,3.0,91.6,23,0,12.12
258,Nyagan,62.1406,65.3936,RU,5.0,66.06,40,6,16.31
259,Vernon,50.2581,-119.2691,CA,-7.0,75.31,26,100,5.7
260,Wundanyi,-3.4019,38.364,KE,3.0,75.15,40,58,15.73
261,Dikson,73.5069,80.5464,RU,7.0,49.59,84,100,35.84
262,Buraidah,26.326,43.975,SA,3.0,109.11,6,0,11.77
263,Comodoro Rivadavia,-45.8667,-67.5,AR,-3.0,62.46,46,35,12.84
264,Hasaki,35.7333,140.8333,JP,9.0,73.47,86,100,21.72
265,Tottori-shi,35.5,134.2333,JP,9.0,76.78,75,26,7.09
266,Port Blair,11.6667,92.75,IN,5.5,82.99,78,99,20.47
267,Ucluelet,48.9329,-125.5528,CA,-7.0,59.79,97,100,12.88
268,Lavrentiya,65.5833,-171.0,RU,12.0,43.34,91,100,12.33
269,Shar'ya,58.3686,45.5144,RU,3.0,47.25,84,95,13.53
270,Lano,10.1725,11.4715,NG,1.0,78.06,76,93,10.42
271,Saint-François,46.4154,3.9054,FR,2.0,80.49,47,13,4.43
272,Tawang Town,27.5833,91.8667,IN,5.5,69.64,61,67,7.72
273,Paka,4.6374,103.4368,MY,8.0,85.26,71,100,5.75
274,Tazovsky,67.4667,78.7,RU,5.0,64.22,62,99,24.9
275,Qasigiannguit,68.8193,-51.1922,GL,-2.0,37.65,99,100,6.08
276,Matara,5.9485,80.5353,LK,5.5,83.21,77,94,14.34
277,Savannah Bight,16.45,-85.85,HN,-6.0,89.01,78,99,23.85
278,Aktau,43.65,51.2,KZ,5.0,76.68,32,98,11.77
279,Bilibino,68.0546,166.4372,RU,12.0,43.27,99,100,23.22
280,Virginia Beach,36.8529,-75.978,US,-4.0,78.51,57,45,8.77
281,Kahului,20.8947,-156.47,US,-10.0,83.39,63,21,14.9
282,Chui,-33.6971,-53.4616,UY,-3.0,60.3,66,0,9.73
283,Lisbon,38.7167,-9.1333,PT,1.0,79.25,51,8,8.79
284,Grand Gaube,-20.0064,57.6608,MU,4.0,72.81,65,2,25.12
285,Tocopilla,-22.092,-70.1979,CL,-4.0,67.64,63,15,13.6
286,Manavālakurichi,8.1333,77.3,IN,5.5,84.36,70,92,17.36
287,Yārāda,17.65,83.2667,IN,5.5,87.62,64,90,16.04
288,Provideniya,64.3833,-173.3,RU,12.0,45.54,83,96,8.59
289,Mitchell,43.7094,-98.0298,US,-5.0,77.76,48,45,10.92
290,San Policarpo,12.1791,125.5072,PH,8.0,86.04,66,59,7.76
291,Taoudenni,22.6783,-3.9836,ML,0.0,113.4,7,4,11.65
292,Kalianget,-7.05,113.9333,ID,7.0,85.59,60,52,12.53
293,Kavaratti,10.5669,72.642,IN,5.5,81.81,77,97,18.5
294,Arlit,18.7369,7.3853,NE,1.0,101.68,10,19,13.06
295,Kaffrine,14.1059,-15.5508,SN,0.0,88.21,72,92,16.49
296,Hillsboro,45.5229,-122.9898,US,-7.0,84.06,34,1,5.86
297,Mayo,38.8876,-76.5119,US,-4.0,78.06,55,44,9.84
298,Chernyshevskiy,63.0128,112.4714,RU,9.0,53.92,38,17,5.86
299,Tura,25.5198,90.2201,IN,5.5,87.66,67,55,3.94
300,Abhā,18.2164,42.5053,SA,3.0,78.82,28,24,8.14
301,Juneau,58.3019,-134.4197,US,-8.0,58.84,89,75,4.32
302,Krasnoarmeysk,51.0239,45.6969,RU,4.0,61.72,35,3,11.7
303,Saint-Augustin,51.226,-58.6502,CA,-4.0,50.14,89,100,20.02
304,Khomutovka,51.9207,34.5619,RU,3.0,58.75,47,2,14.32
305,Padang,-0.9492,100.3543,ID,7.0,84.13,76,56,5.21
306,Plymouth,41.8334,-70.8328,US,-4.0,76.24,47,0,8.1
307,Poum,-20.2333,164.0167,NC,11.0,72.45,68,0,14
308,Lindi,-10.0,39.7167,TZ,3.0,85.33,47,83,10.33
309,Haines Junction,60.7522,-137.5108,CA,-7.0,57.85,83,100,4
310,Benguela,-12.5763,13.4055,AO,1.0,78.1,70,79,9.42
311,Laishevo,55.4046,49.5504,RU,3.0,56.91,59,91,22.64
312,Chokurdakh,70.6333,147.9167,RU,11.0,40.3,59,100,19.44
313,Vao,-22.6667,167.4833,NC,11.0,69.98,74,16,17.27
314,Quetta,30.199,67.0097,PK,5.0,90.75,14,10,5.73
315,Buala,-8.145,159.5921,SB,11.0,85.17,67,60,6.53
316,Zaidpur,26.8333,81.3333,IN,5.5,94.55,55,31,5.21
317,Sørland,67.667,12.6934,NO,2.0,50.38,74,100,14.74
318,Nemuro,43.3236,145.575,JP,9.0,60.94,76,22,9.55
319,Gambēla,8.25,34.5833,ET,3.0,84.58,76,98,6.38
320,Miass,55.045,60.1083,RU,5.0,60.58,46,50,13.69
321,Tortolì,39.9256,9.6572,IT,2.0,82.83,61,5,6.78
322,Constitución,-35.3333,-72.4167,CL,-4.0,58.08,62,18,10.71
323,Strai,58.2,7.9,NO,2.0,62.19,51,67,9.69
324,Ponta do Sol,32.6667,-17.1,PT,1.0,80.19,61,3,9.26
325,Pokosnoye,55.5258,101.0536,RU,8.0,54.86,39,45,8.39
326,Cap Malheureux,-19.9842,57.6142,MU,4.0,73.04,65,2,24.99
327,Los Llanos de Aridane,28.6585,-17.9182,ES,1.0,72.01,77,98,6.29
328,Sint-Lievens-Houtem,50.9329,3.8809,BE,2.0,75.09,60,13,10.27
329,Guanambi,-14.2233,-42.7814,BR,-3.0,91.18,32,2,15.97
330,Moerai,-22.4333,-151.3333,PF,-10.0,73.38,80,99,25.86
331,Hofn,64.2539,-15.2082,IS,0.0,54.79,81,100,18.48
332,Kosa,59.9445,54.9977,RU,5.0,45,98,100,12.66
333,Pimentel,-6.8367,-79.9342,PE,-5.0,70.09,71,56,15.55
334,Bonnyville,54.2668,-110.735,CA,-6.0,72.41,36,0,9.37
335,Castro,-24.7911,-50.0119,BR,-3.0,82.71,31,6,6.73
336,Moose Factory,51.2585,-80.6094,CA,-4.0,64.9,60,100,10.27
337,Sibolga,1.7427,98.7792,ID,7.0,85.55,67,99,5.88
338,Viedma,-40.8135,-62.9967,AR,-3.0,67.14,51,98,12.3
339,Cidreira,-30.1811,-50.2056,BR,-3.0,63.84,69,2,13.04
340,Santa Sofia,43.9445,11.9087,IT,2.0,78.08,38,93,6.24
341,Shimoda,34.6667,138.95,JP,9.0,74.79,86,100,16.51
342,Sangar,63.9242,127.4739,RU,9.0,54.54,56,0,7.81
343,Amuntai,-2.4177,115.2494,ID,8.0,85.84,70,91,2.26
344,Yambio,4.5721,28.3955,SS,2.0,75.67,80,100,7.16
345,Kuytun,54.3419,101.5036,RU,8.0,50.95,53,47,8.93
346,Bundaberg,-24.85,152.35,AU,10.0,74.23,58,37,13.29
347,Ballina,-28.8667,153.5667,AU,10.0,73.71,57,100,15.03
348,Acapulco de Juárez,16.8634,-99.8901,MX,-5.0,87.62,69,86,8.63
349,Namatanai,-3.6667,152.4333,PG,10.0,82.92,74,58,8.41
350,Necochea,-38.5473,-58.7368,AR,-3.0,60.04,59,69,8.77
351,Pimenta Bueno,-11.6725,-61.1936,BR,-4.0,100.45,26,93,5.64
352,Dwārka,22.2394,68.9678,IN,5.5,83.88,76,87,14.52
353,Ridgecrest,35.6225,-117.6709,US,-7.0,95.97,8,1,5.28
354,Yaypan,40.3758,70.8156,UZ,5.0,100.04,8,0,14.18
355,Quelimane,-17.8786,36.8883,MZ,2.0,87.58,46,0,11.5
356,San Rafael,-34.6177,-68.3301,AR,-3.0,67.89,31,0,15.77
357,Santa Isabel Rio Negro,-0.4139,-65.0192,BR,-4.0,90.79,53,89,2.84
358,Dickinson,29.4608,-95.0513,US,-5.0,93.87,56,45,10.98
359,Terre Haute,39.4667,-87.4139,US,-4.0,70.81,91,96,11.56
360,Yaan,7.3833,8.5667,NG,1.0,80.78,87,100,7.09
361,Qinhuangdao,39.9317,119.5883,CN,8.0,72.7,86,100,9.35
362,Emerald,-23.5333,148.1667,AU,10.0,80.96,41,6,24.18
363,Laibin,23.7,109.2667,CN,8.0,92.82,56,13,8.55
